"month","month_number","arpu","churn_rate","customer_lifetime_value"
"Jan",1,"223.3255278310940499","0.91151631477927063340","245.004421983575489572615052892840557604"
"Feb",2,"306.8891292590589508","0.89588967009194159005","342.552369453667370979778528461146797520"
"Mar",3,"238.4552601156069364","0.65179190751445086705","365.845689960979070569378046288705665724"
"Apr",4,"191.9168258009760238","0.66857627837895183535","287.052999047921294881083571059420040708"
"May",5,"177.1263537906137184","1.00000000000000000000","177.126353790613718400000000000000000000"
"Jun",6,"8001.4953271028037383","0.02803738317757009346","285386.666666666666645096087227414330218115"
"Jul",7,"6975.5779816513761468","0.04587155963302752294","152067.599999999999986219088256880733944932"
"Aug",8,"7750.8240740740740741","0.00925925925925925926","837088.999999999999935832879999999999999776"
"Sep",9,"6831.4642857142857143","1.00000000000000000000","6831.464285714285714300000000000000000000"
"Oct",10,"163.7359062436855930","1.00000000000000000000","163.735906243685593000000000000000000000"
